Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
3,C.Schmidt,BUF,0,0.4,0.75,0.0,2,0.0,0.0,2,0.75,0.0,0.0,0.020000000000000285,-0.7000000000000001,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,5.82
3,T.Morstead,NO,0,0.0,0.25,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.5,0.30000000000000004,0.6000000000000001,-0.25,0,0,-0.0,-0.0,0,5.4
3,M.Palardy,CAR,0,0.4,0.25,0.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.2,-0.30000000000000004,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,1.45
3,J.Berry,PIT,0,0.4,0.75,0.0,0,0.0,0.0,3,0.75,0.0,0.0,-0.4399999999999999,0.9,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,5.660000000000001
3,P.O'Donnell,CHI,0,0.0,0.5,0.1,2,0.75,0.0,2,0.0,0.0,0.0,-0.05,0.4,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,5.75
3,J.Locke,DET,0,0.0,0.5,0.0,1,0.0,0.0,1,0.75,0.0,0.0,0.27999999999999975,-1.0,0.5,-0.0,0,0,-0.0,-0.0,0,3.03
3,M.Bosher,ATL,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.05,-0.1,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,1.8
3,R.Sanchez,IND,0,0.4,0.75,0.2,1,0.0,0.0,2,0.75,0.0,0.0,0.07142857142857154,0.9,0.5,-0.0,0,0,-0.0,-0.0,0,6.571428571428571
3,B.Colquitt,CLE,0,0.0,0.5,0.1,4,0.0,0.0,3,0.75,0.5,0.0,0.45714285714285696,0.3666666666666667,0.4,-0.0,0,0,-0.0,-0.0,0,10.073809523809524
3,R.Quigley,MIN,0,0.0,0.75,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-0.46666666666666645,0,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,1.8833333333333337
3,B.Anger,TB,0,0.0,0.75,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.42500000000000004,0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,0.625
3,S.Lechler,HOU,0,0.0,0.25,0.0,3,1.5,0.0,2,1.5,0.0,0.0,1.35,-1.75,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,8.45
3,R.Allen,NE,0,0.4,0.25,0.0,3,0.75,0.0,3,0.0,0.0,0.0,0.03333333333333357,0.2333333333333333,0.4,-0.0,0,0,-0.0,-0.0,0,8.066666666666666
