Week,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses,First Downs,TD,Fumbles,Int,Conduct
6,M.Palardy,CAR,3,136,0,0,1,1,1,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0
6,D.Jones,PHI,6,305,0,0,1,1,3,0,0,1,1,0,0,3,35,4,0,0,0,0,0,0
6,M.Bosher,ATL,3,118,0,0,0,1,1,0,0,0,0,0,0,1,8,3,1,0,0,0,0,0
6,M.Haack,MIA,2,80,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
6,S.Koch,BAL,7,385,0,0,0,0,5,2,0,2,2,0,0,4,43,4,0,0,0,0,0,0
6,P.O'Donnell,CHI,9,420,0,0,2,2,3,1,0,3,1,0,0,5,132,4,0,0,0,0,0,0
6,B.Colquitt,CLE,7,358,0,0,1,0,5,1,0,3,2,2,0,4,57,2,0,0,0,0,0,0
6,S.Lechler,HOU,7,350,0,0,0,0,4,0,0,2,1,1,0,6,43,3,0,0,0,0,0,0
6,J.Vogel,GB,6,263,0,0,4,1,2,0,0,4,0,0,0,1,-5,2,0,0,0,0,0,0
6,R.Quigley,MIN,4,155,0,0,2,1,1,0,0,3,1,1,0,1,8,5,0,0,0,0,0,0
6,J.Locke,DET,5,243,0,0,2,1,0,0,0,3,1,0,0,2,6,4,1,0,0,0,0,0
6,T.Morstead,NO,7,344,0,1,0,1,3,1,0,3,1,1,0,4,106,5,0,0,0,0,0,0
6,R.Allen,NE,4,160,0,0,1,0,0,0,0,1,1,1,0,2,-2,4,1,0,0,0,0,0
6,L.Edwards,NYJ,4,187,0,0,0,0,1,0,0,1,1,0,0,3,20,3,0,0,0,0,0,0
6,B.Pinion,SF,6,254,0,0,4,0,0,0,0,4,0,0,0,1,6,4,1,0,0,0,0,0
6,T.Way,WAS,4,181,0,1,2,0,1,0,0,1,0,0,0,1,39,4,1,0,0,0,0,0
6,B.Anger,TB,4,154,0,0,3,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0
6,A.Lee,ARI,2,93,0,0,0,0,1,0,0,1,1,1,1,1,10,6,0,0,0,0,0,0
6,J.Hekker,LA,7,322,0,1,3,0,3,1,0,4,0,0,0,1,0,4,0,0,0,0,0,0
6,B.Nortman,JAX,7,274,1,0,1,3,2,0,0,2,0,0,0,3,17,3,2,0,0,0,0,0
6,J.Berry,PIT,5,207,0,1,0,1,1,1,0,2,0,0,0,3,39,3,0,0,0,0,0,0
6,D.Colquitt,KC,4,190,0,0,1,0,2,0,0,3,1,1,1,1,0,3,0,0,0,0,0,0
6,D.Kaser,LAC,4,223,0,1,0,0,4,1,0,0,0,0,0,3,18,3,1,0,0,0,0,0
6,M.King,OAK,4,226,0,0,1,0,4,0,0,4,2,0,0,2,6,2,1,0,0,0,0,0
6,R.Dixon,DEN,3,153,0,0,2,0,2,0,0,0,0,0,0,1,20,2,1,0,0,0,0,0
6,B.Wing,NYG,6,299,0,0,1,0,2,1,0,2,0,0,0,4,23,4,0,0,0,0,0,0
6,R.Sanchez,IND,3,160,0,0,0,1,2,0,0,0,0,0,0,2,15,4,0,0,0,0,0,0
6,B.Kern,TEN,1,44,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0
7,D.Colquitt,KC,3,137,0,0,1,1,2,0,0,3,0,0,0,1,0,6,0,0,0,0,0,0
7,M.King,OAK,3,146,0,0,0,0,2,0,0,1,1,1,1,2,13,5,1,0,0,0,0,0
7,B.Anger,TB,2,77,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
7,C.Schmidt,BUF,2,101,0,0,1,0,1,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0
7,M.Palardy,CAR,5,263,0,1,1,0,4,0,0,1,0,0,0,2,12,1,0,0,0,0,0,0
7,P.O'Donnell,CHI,6,296,0,0,2,0,3,2,0,1,0,0,0,3,17,1,0,0,0,0,0,0
7,B.Colquitt,CLE,4,178,0,0,0,0,2,0,0,0,0,0,0,3,20,3,0,0,0,0,0,0
7,B.Kern,TEN,4,208,0,1,0,0,3,0,0,2,0,0,0,3,13,4,1,0,0,0,0,0
7,J.Vogel,GB,5,238,0,0,2,0,2,1,0,1,0,0,0,1,7,3,1,0,0,0,0,0
7,T.Morstead,NO,2,78,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0
7,R.Sanchez,IND,7,314,0,0,6,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
7,B.Nortman,JAX,2,107,0,0,1,0,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0
