Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards
14,Free Agent,J.Locke,MIN,1,42,0,0,0,0,0,0,0,0,0,0,0,1,4
14,Free Agent,M.Darr,MIA,8,346,0,1,1,0,2,0,0,3,2,1,1,3,12
14,Free Agent,D.Butler,ARI,5,236,0,0,1,0,2,1,0,1,0,0,0,4,52
14,Free Agent,T.Way,WAS,3,141,0,0,0,1,0,0,0,0,0,0,0,1,5
14,Free Agent,D.Jones,PHI,2,106,0,0,0,0,3,0,0,1,0,0,0,3,15
14,Free Agent,B.Anger,TB,4,185,0,1,0,0,2,0,0,2,2,2,1,1,6
14,Free Agent,T.Morstead,NO,4,205,0,0,0,1,3,0,0,1,0,0,0,3,15
14,Free Agent,R.Dixon,DEN,5,207,0,0,3,0,1,0,0,2,1,1,0,1,17
14,Free Agent,B.Kern,TEN,7,308,0,1,3,0,1,1,0,3,2,1,0,2,21
14,Free Agent,L.Edwards,NYJ,6,237,0,0,5,0,1,0,0,4,0,0,0,1,10
14,Free Agent,B.Pinion,SF,6,239,0,0,3,0,0,0,0,1,0,0,0,1,0
14,Free Agent,J.Ryan,SEA,4,136,0,0,2,1,0,0,0,2,0,0,0,1,0
14,Free Agent,J.Schum,GB,4,154,0,0,2,1,0,0,0,3,0,0,0,0,0
14,Free Agent,M.Bosher,ATL,8,415,0,0,0,0,6,1,0,2,1,0,0,7,74
14,Free Agent,J.Hekker,LA,7,340,0,0,4,1,4,0,0,6,1,0,0,0,0
14,Free Agent,B.Wing,NYG,9,389,0,0,2,1,2,0,0,5,2,2,0,3,3
14,Free Agent,C.Jones,DAL,9,384,0,0,4,0,2,0,0,2,0,0,0,6,20
14,Free Agent,R.Allen,NE,6,294,0,1,1,2,3,0,0,2,2,2,1,1,12
14,Free Agent,S.Koch,BAL,6,289,0,0,1,2,2,1,0,3,0,0,0,2,7
15,Free Agent,J.Hekker,LA,4,216,0,0,2,0,3,1,0,0,0,0,0,2,16
15,Free Agent,J.Ryan,SEA,3,108,0,0,1,1,0,0,0,2,0,0,0,0,0
15,Free Agent,M.Darr,MIA,6,257,0,0,2,0,0,0,0,1,0,0,0,3,32
15,Free Agent,L.Edwards,NYJ,3,119,1,0,1,0,1,0,0,1,0,0,0,2,17
15,Free Agent,D.Jones,PHI,2,94,0,0,1,1,1,0,0,1,0,0,0,0,0
15,Free Agent,S.Koch,BAL,4,197,0,1,0,0,2,1,0,1,0,0,0,1,22
15,Free Agent,B.Colquitt,CLE,5,222,0,0,0,0,2,0,0,1,0,0,0,4,46
15,Free Agent,C.Schmidt,BUF,2,90,0,0,0,0,0,0,0,0,0,0,0,2,23
15,Bandit,P.O'Donnell,CHI,2,88,0,0,0,0,0,0,0,1,1,1,1,1,2
15,Free Agent,J.Schum,GB,4,168,0,0,1,1,1,0,0,0,0,0,0,2,17
